Platform,Author,Text,Date,Link
Bluesky,wendyo.bsky.social,Clan floor lamp by Studio 6G for Harvey Guzzini (1968),2026-01-08T23:15:08.816Z,https://bsky.app/profile/wendyo.bsky.social/post/3mbx4ebbses23
Bluesky,blockbusterrewards.bsky.social,"Self care day complete! Started therapy today, got a haircut, had my face holes stretched and sized up (main ear hole 1/2 inch, second ear hole 6g, septum 14g). Went to the gym and had a swell chest day. Also bought Arc Raiders so gonna start that ^^",2026-01-08T00:05:26.215Z,https://bsky.app/profile/blockbusterrewards.bsky.social/post/3mbuopbf6ck24
Bluesky,subacofeminino.bsky.social,"o ano é 2060, você é o último homem cis hétero na Terra   toda a população é vascinada, em cada loja de esquina vendem kit autismo, nas escolas eles ensinam pronomes e a pintar o cabelo de azul pras crianças, toda mulher na Terra são fortonas de academia e namoram entre si, comunismo mundial e 6G",2026-01-10T19:17:30.521Z,https://bsky.app/profile/subacofeminino.bsky.social/post/3mc3pz6f2fs2i
Bluesky,tum.de,"Our university & @tudresden.bsky.social start the second funding phase of 6G-life², advancing research on next-generation #mobilecommunications. Interdisciplinary teams develop concepts for human-centered #6G, with the project running until 2029: go.tum.de/617883 @6g-life.bsky.social   📷A.Heddergott",2026-01-08T11:11:49.871Z,https://bsky.app/profile/tum.de/post/3mbvtwurggs2n
Bluesky,maejoicer.bsky.social,All you did was wreck my bed and in the morning kicked me in the head...  youtu.be/EOl7dh7a-6g?...,2026-01-07T00:11:16.035Z,https://bsky.app/profile/maejoicer.bsky.social/post/3mbs6krjyhs2r
Bluesky,grayhabcd.bsky.social,#GIF4Cover #MusicChallenge  7 - Dog  💿 For The Morning - Tyler Ramsey 🎧 A Dream Of Home  youtu.be/zdHzm6ae-6g?...,2026-01-07T01:13:44.137Z,https://bsky.app/profile/grayhabcd.bsky.social/post/3mbsc2i2cd226
Bluesky,alesitoide.bsky.social,"lo entendí al revés. la heladera protege de virus, que en realidad no existen, sino que la heladera está aislada del 4G, del 5G, el 6G y especialmente del punto G, que es el que seguro nunca vas a conocer cuando te pongas el sombrerito de aluminio para evitar el COVID",2026-01-11T14:22:28.602Z,https://bsky.app/profile/alesitoide.bsky.social/post/3mc5pyjy35s2y
Bluesky,mizpenn.bsky.social,"#MusicChallenge  #AuralVisualConnection  #MusicSky   Day 7 - ""Party All the Time"" (Eddie Murphy)   Thanks for hosting, @fervorcoulee.bsky.social 😎🎶 I had so much fun! 🎶🎵🎶🙌  youtu.be/iWa-6g-TbgI?...",2026-01-06T21:38:18.811Z,https://bsky.app/profile/mizpenn.bsky.social/post/3mbrvzbhdns2a
Bluesky,kikemb.bsky.social,"Bandaca, Gorefest. Si hablamos de death'n'roll para mí el Wolverine Blues de Entombed es canon. youtu.be/uNi0tsCU-6g?...",2026-01-08T22:06:17.519Z,https://bsky.app/profile/kikemb.bsky.social/post/3mbwyj5cvxk22
Bluesky,arponbasu.bsky.social,"Juraj Slafkovský, with 1G, 1A in two periods today, over his last 8 GP: 6G, 6A, 12 pts.  Juraj Slafkovský in his previous 34 GP: 9G, 11A, 20 pts.",2026-01-04T20:40:37.332Z,https://bsky.app/profile/arponbasu.bsky.social/post/3mbmrubpio72a
Bluesky,changingval.bsky.social,I wanna stretch my septum to a 6g now😔,2026-01-06T12:06:49.488Z,https://bsky.app/profile/changingval.bsky.social/post/3mbqw3em7os2w
Bluesky,plex-dave.bsky.social,The stream is up at twitch.tv/echoplexmedia  #conspiracytheories #truthers #cookers #5g #6g #chemtrails #leftisbest,2026-01-10T04:59:01.426Z,https://bsky.app/profile/plex-dave.bsky.social/post/3mc2a23jnog2k
Bluesky,gadgetry.bsky.social,Success in this new environment will depend on establishing trust frameworks that allow diverse AI entities – from robot dogs to smart cameras – to collaborate without compromising network integrity or data privacy. #6g #telecoms #agenticai #networkautomation #ai #tech #news #technology,2026-01-07T10:36:08.340Z,https://bsky.app/profile/gadgetry.bsky.social/post/3mbtbi4ycls2g
Bluesky,kirstensaidwhat.bsky.social,Was curious about the L’Oréal blurfection powder but now that it’s coming to Canada I see it’s only 6g of product for over $20??? Like I can get HIGH END at a lower cost per gram… drugstore makeup prices in Canada are ridiculous,2026-01-05T19:36:23.093Z,https://bsky.app/profile/kirstensaidwhat.bsky.social/post/3mbp6qd6lsc2p
Bluesky,ceagrenoble.bsky.social,"#conférence |🗨️ ""IA et 6G : Communiquer moins pour comprendre mieux. Le secret des communications sémantiques"" | 🎤animée par Emilio Calvanese Strinati, Directeur scientifique de notre institut CEA-Leti 🗓️ Vendredi 16 janvier de 12 h 30 à 13 h 15 📍Maison Minatec ✅ www.giant-grenoble.org/midis-by-gia.",2026-01-09T13:48:02.715Z,https://bsky.app/profile/ceagrenoble.bsky.social/post/3mbyn54uqec2v
Bluesky,kelownagurl.bsky.social,I've been researching my Scottish line of ancestors and found out my 6G grandfather was a barber and wigmaker on the Royal Mile (Canongate) in the mid 1700s.  Even had a Close named after him.,2026-01-04T06:57:39.013Z,https://bsky.app/profile/kelownagurl.bsky.social/post/3mblduol6gc24
Bluesky,khoyoulaa.bsky.social,Ça c’est parce que tu manques de bananes 6G 🙃 Plus sérieusement grosse angoisse existentielle ici aussi Totalement irraisonnée et irraisonnable Accorde toi peut être  ce répit pour recharger les batteries  On devrait pouvoir hiberner Reste pas trop longtemps toute seule comme ça quand même 🫂,2026-01-05T21:17:00.816Z,https://bsky.app/profile/khoyoulaa.bsky.social/post/3mbpeeb7bo22p
Bluesky,fubar-427.bsky.social,youtu.be/EOl7dh7a-6g?...,2026-01-03T23:11:22.038Z,https://bsky.app/profile/fubar-427.bsky.social/post/3mbkjsvnnrk2q
Bluesky,imranicus.bsky.social,"Adults in England eating '22 bags of crisps a day' in salt, study says  Working-age adults eat the equivalent in salt of 155 bags of ready salted, crisps each week, the British Heart Foundation says, which is 40% more than the recommended maximum of 6g a day.  news.sky.com/story/adults...",2026-01-07T04:41:59.373Z,https://bsky.app/profile/imranicus.bsky.social/post/3mbsnoufcb22g
Bluesky,psicopompus.bsky.social,"vão fazer um exercicio aqui  vamo dizer que vc casou há 5 anos e comprou uma aliança simplona total aí de 6g custando 1,800 esse ouro. vamos dizer que foi aí 3x de lucro (normar pra shopping) ficou em 5400,00  Daí ano passado, Junho de 2025 você volta pra retonar sua joia e pegar uma nova",2026-01-07T14:21:20.426Z,https://bsky.app/profile/psicopompus.bsky.social/post/3mbto2t4h3c2o
Bluesky,reinifilm.bsky.social,#LookAndSee (291) #MusicChallenge #MusicSky  Eddie Murphy - Party All The Time  youtu.be/iWa-6g-TbgI,2026-01-01T15:03:13.729Z,https://bsky.app/profile/reinifilm.bsky.social/post/3mbenm77wik22
Bluesky,sygnin.com,"On the bright side, I got Procreate down from 20G to 6G (ok, maybe closer to 7G, but still...)",2026-01-02T00:13:54.252Z,https://bsky.app/profile/sygnin.com/post/3mbfmev4mbs2a
Bluesky,pupjaxy.bsky.social,Thinking of starting at 6g!,2026-01-01T10:15:06.592Z,https://bsky.app/profile/pupjaxy.bsky.social/post/3mbe5iywds22z
Bluesky,objectd.bsky.social,Its nipples are now stretched and sleeved for 2g! Inner diameter of tube is 6g allowing for the installation of substantial control rings (coming)!,2025-12-31T06:04:57.656Z,https://bsky.app/profile/objectd.bsky.social/post/3mbb72rtgks2s
